runNb,runID,trialNb,trType,goalToken,uncertainty,unavAct,corrAct,bestAct,vertOrd,horizOrd,isBreak,tokenIfLeft,tokenIfMid,tokenIfRight
6,1,1,1,1,1,2,3,3,2,2,0,NaN,NaN,NaN
6,1,2,1,1,1,3,2,3,2,2,0,NaN,NaN,NaN
6,1,3,2,1,1,1,3,3,2,2,0,NaN,3,1
6,1,4,1,1,1,3,2,3,2,2,0,NaN,NaN,NaN
6,1,5,1,2,1,3,1,1,2,2,0,NaN,NaN,NaN
6,1,6,2,2,1,1,3,1,2,2,0,NaN,1,1
6,1,7,1,2,1,2,1,1,2,2,0,NaN,NaN,NaN
6,1,8,1,2,1,3,1,1,2,2,0,NaN,NaN,NaN
6,1,9,1,1,1,1,3,3,2,2,0,NaN,NaN,NaN
6,1,10,2,1,1,2,3,3,2,2,0,2,NaN,1
6,1,11,1,1,1,2,3,3,2,2,0,NaN,NaN,NaN
6,1,12,2,1,1,2,3,3,2,2,1,3,NaN,3
7,4,1,1,1,2,2,1,1,3,1,0,NaN,NaN,NaN
7,4,2,2,1,2,3,1,1,3,1,0,2,1,NaN
7,4,3,1,1,2,3,1,1,3,1,0,NaN,NaN,NaN
7,4,4,1,3,2,1,3,3,3,1,0,NaN,NaN,NaN
7,4,5,2,3,2,2,3,3,3,1,0,2,NaN,1
7,4,6,1,3,2,2,3,3,3,1,0,NaN,NaN,NaN
7,4,7,1,2,2,1,2,2,3,1,0,NaN,NaN,NaN
7,4,8,1,2,2,2,1,2,3,1,0,NaN,NaN,NaN
7,4,9,2,2,2,3,2,2,3,1,0,3,3,NaN
7,4,10,1,2,2,1,2,2,3,1,0,NaN,NaN,NaN
7,4,11,1,3,2,1,3,3,3,1,0,NaN,NaN,NaN
7,4,12,2,3,2,3,2,3,3,1,1,2,3,NaN
8,3,1,1,3,1,2,1,1,1,3,0,NaN,NaN,NaN
8,3,2,1,3,1,3,1,1,1,3,0,NaN,NaN,NaN
8,3,3,2,3,1,3,1,1,1,3,0,3,1,NaN
8,3,4,1,2,1,1,3,3,1,3,0,NaN,NaN,NaN
8,3,5,2,2,1,2,3,3,1,3,0,3,NaN,2
8,3,6,1,2,1,2,3,3,1,3,0,NaN,NaN,NaN
8,3,7,1,2,1,3,2,3,1,3,0,NaN,NaN,NaN
8,3,8,1,3,1,3,1,1,1,3,0,NaN,NaN,NaN
8,3,9,2,3,1,1,3,1,1,3,0,NaN,2,2
8,3,10,1,3,1,3,1,1,1,3,0,NaN,NaN,NaN
8,3,11,1,1,1,3,2,2,1,3,0,NaN,NaN,NaN
8,3,12,2,1,1,2,1,2,1,3,0,3,NaN,3
